study,claim_id,component_id,language,outcome,map_number,seed,estimate,analysis_unit,outcome_scale
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,92,0.651421320111737,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,93,0.887525271196513,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,94,0.555681900605026,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,95,0.795982216368558,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,96,0.856366843059235,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,97,0.86458550928529,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,98,0.81441256629882,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,99,0.995877296249617,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,100,0.833188716795754,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,step_zero,2,101,0.698757011627423,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,90,4.17680616619578,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,91,3.9262653219874,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,92,3.60339615578121,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,93,4.35108500977075,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,94,3.503151721251,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,95,4.50940869074839,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,96,4.71980643678831,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,97,4.195528702103,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,98,3.83165728825906,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,99,4.89396951014995,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,100,4.40450588962966,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_2,spanish,learning_curve_auc,2,101,3.7051743003315,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,90,0.610739967682943,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,91,0.817786823188605,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,92,0.567558791199207,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,93,0.732397724220029,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,94,0.490925480875175,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,95,0.741658560296627,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,96,0.738731171304546,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,97,0.744620348665505,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,98,0.650874981785762,base_seed,raw
row_to_token_assignment,correct_assignment_advantage,spanish_correct_assignment_advantage__map_3,spanish,step_zero,3,99,0.815362077801343,base_seed,raw
